ONEID	ONEName	NEID	NEName	NEType	ShelfID	BrdID	BrdType	BrdName	PortID	PortNO	PortName	MOType	FBName	PathID	EventID	EventName	Period	EndTime	Value	UnitName	PMParameterName	PMLocationID	PMLocation	UpLevel	DownLevel	ResultOfLevel	
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 12:00:00+00:00	52.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 12:00:00+00:00	52.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 12:15:00+00:00	52.50	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 12:15:00+00:00	52.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 12:15:00+00:00	52.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 12:30:00+00:00	52.50	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 12:30:00+00:00	52.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 12:30:00+00:00	52.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 12:45:00+00:00	52.50	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 12:45:00+00:00	52.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 12:45:00+00:00	52.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 13:00:00+00:00	52.50	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 13:00:00+00:00	52.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 13:00:00+00:00	52.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 13:15:00+00:00	52.50	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 13:15:00+00:00	52.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 13:15:00+00:00	52.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 13:30:00+00:00	52.50	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 13:30:00+00:00	52.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 13:30:00+00:00	52.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 13:45:00+00:00	52.50	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 13:45:00+00:00	52.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 13:45:00+00:00	52.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 14:00:00+00:00	53.00	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 14:00:00+00:00	52.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 14:00:00+00:00	52.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 14:15:00+00:00	52.50	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 14:15:00+00:00	50.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 14:15:00+00:00	52.00	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 14:30:00+00:00	52.00	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 14:30:00+00:00	52.00	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 14:30:00+00:00	52.00	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 14:45:00+00:00	52.00	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 14:45:00+00:00	52.00	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 14:45:00+00:00	52.00	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	188	BDTEMPMAX	15M	2016-09-19 15:00:00+00:00	52.00	C	PMP_OPT_LTEMP_MAX	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	189	BDTEMPMIN	15M	2016-09-19 15:00:00+00:00	51.50	C	PMP_OPT_LTEMP_MIN	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	7	ENV	1	190	BDTEMPCUR	15M	2016-09-19 15:00:00+00:00	51.50	C	PMP_OPT_LTEMP	3	PML_NEAR_END_Tx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	133	FEC_COR_0BIT_CNT	15M	2016-09-19 11:15:00+00:00	405721	 	PMP_FEC_COR_0BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	134	FEC_COR_1BIT_CNT	15M	2016-09-19 11:15:00+00:00	17841390	 	PMP_FEC_COR_1BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	135	FEC_COR_BYTE_CNT	15M	2016-09-19 11:15:00+00:00	18247111	 	PMP_FEC_EC	1	PML_NEAR_END_Rx	10	10	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	252	FEC_BEF_COR_ER	15M	2016-09-19 11:15:00+00:00	7	 	PMP_FEC_BEF_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	253	FEC_AFT_COR_ER	15M	2016-09-19 11:15:00+00:00	0	 	PMP_FEC_AFT_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15010	FEC_BEF_COR_ERAVR	15M	2016-09-19 11:15:00+00:00	7	 	PMP_FEC_BEF_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15009	FEC_AFT_COR_ERAVR	15M	2016-09-19 11:15:00+00:00	0	 	PMP_FEC_AFT_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14926	FEC_BEF_CORER_FLOAT	15M	2016-09-19 11:15:00+00:00	1.770e-07	 	PMP_FEC_BEF_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14927	FEC_AFT_CORER_FLOAT	15M	2016-09-19 11:15:00+00:00	0	 	PMP_FEC_AFT_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	133	FEC_COR_0BIT_CNT	15M	2016-09-19 11:30:00+00:00	414873	 	PMP_FEC_COR_0BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	134	FEC_COR_1BIT_CNT	15M	2016-09-19 11:30:00+00:00	18122518	 	PMP_FEC_COR_1BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	135	FEC_COR_BYTE_CNT	15M	2016-09-19 11:30:00+00:00	18537391	 	PMP_FEC_EC	1	PML_NEAR_END_Rx	10	10	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	252	FEC_BEF_COR_ER	15M	2016-09-19 11:30:00+00:00	7	 	PMP_FEC_BEF_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	253	FEC_AFT_COR_ER	15M	2016-09-19 11:30:00+00:00	0	 	PMP_FEC_AFT_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15010	FEC_BEF_COR_ERAVR	15M	2016-09-19 11:30:00+00:00	7	 	PMP_FEC_BEF_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15009	FEC_AFT_COR_ERAVR	15M	2016-09-19 11:30:00+00:00	0	 	PMP_FEC_AFT_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14926	FEC_BEF_CORER_FLOAT	15M	2016-09-19 11:30:00+00:00	1.840e-07	 	PMP_FEC_BEF_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14927	FEC_AFT_CORER_FLOAT	15M	2016-09-19 11:30:00+00:00	0	 	PMP_FEC_AFT_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	133	FEC_COR_0BIT_CNT	15M	2016-09-19 11:45:00+00:00	408506	 	PMP_FEC_COR_0BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	134	FEC_COR_1BIT_CNT	15M	2016-09-19 11:45:00+00:00	18009254	 	PMP_FEC_COR_1BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	135	FEC_COR_BYTE_CNT	15M	2016-09-19 11:45:00+00:00	18417760	 	PMP_FEC_EC	1	PML_NEAR_END_Rx	10	10	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	252	FEC_BEF_COR_ER	15M	2016-09-19 11:45:00+00:00	7	 	PMP_FEC_BEF_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	253	FEC_AFT_COR_ER	15M	2016-09-19 11:45:00+00:00	0	 	PMP_FEC_AFT_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15010	FEC_BEF_COR_ERAVR	15M	2016-09-19 11:45:00+00:00	7	 	PMP_FEC_BEF_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15009	FEC_AFT_COR_ERAVR	15M	2016-09-19 11:45:00+00:00	0	 	PMP_FEC_AFT_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14926	FEC_BEF_CORER_FLOAT	15M	2016-09-19 11:45:00+00:00	1.850e-07	 	PMP_FEC_BEF_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14927	FEC_AFT_CORER_FLOAT	15M	2016-09-19 11:45:00+00:00	0	 	PMP_FEC_AFT_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	133	FEC_COR_0BIT_CNT	15M	2016-09-19 12:00:00+00:00	415182	 	PMP_FEC_COR_0BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	134	FEC_COR_1BIT_CNT	15M	2016-09-19 12:00:00+00:00	18388739	 	PMP_FEC_COR_1BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	135	FEC_COR_BYTE_CNT	15M	2016-09-19 12:00:00+00:00	18803921	 	PMP_FEC_EC	1	PML_NEAR_END_Rx	10	10	Over
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	252	FEC_BEF_COR_ER	15M	2016-09-19 12:00:00+00:00	7	 	PMP_FEC_BEF_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	253	FEC_AFT_COR_ER	15M	2016-09-19 12:00:00+00:00	0	 	PMP_FEC_AFT_COR_ER	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15010	FEC_BEF_COR_ERAVR	15M	2016-09-19 12:00:00+00:00	7	 	PMP_FEC_BEF_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	15009	FEC_AFT_COR_ERAVR	15M	2016-09-19 12:00:00+00:00	0	 	PMP_FEC_AFT_COR_ERAVR	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14926	FEC_BEF_CORER_FLOAT	15M	2016-09-19 12:00:00+00:00	1.840e-07	 	PMP_FEC_BEF_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	14927	FEC_AFT_CORER_FLOAT	15M	2016-09-19 12:00:00+00:00	0	 	PMP_FEC_AFT_CORER_FLOAT	1	PML_NEAR_END_Rx	10	10	Lower
4063235	BB1.ZHH990	3145743	ZHH990.88.1.US1.1	OptiX OSN 8800 T32	2	20	2308	12LSC	196609	1	IN/OUT	15	FEC	1	133	FEC_COR_0BIT_CNT	15M	2016-09-19 12:15:00+00:00	403110	 	PMP_FEC_COR_0BIT_CNT	1	PML_NEAR_END_Rx	0	0	Over
